seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
0,replay,obs_visual,full,1,0.9100000020116568,10,0.0,,,
0,replay,obs_visual,full,2,0.8900000024586916,12,0.0,,,
0,replay,obs_visual,full,3,0.8700000029057264,14,0.0,,,
0,replay,obs_visual,full,4,0.8700000029057264,14,0.0,,,
0,replay,obs_visual,full,5,0.8900000024586916,12,0.0,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,6,0.8900000024586916,12,0.0,,,
0,replay,obs_visual,full,7,0.9100000020116568,10,0.0,,,
0,replay,obs_visual,full,8,0.9100000020116568,10,0.0,,,
0,replay,obs_visual,full,9,0.9100000020116568,10,5.4149328207131475e-05,,,
0,replay,obs_visual,full,10,0.8900000024586916,12,6.303691861830885e-06,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,11,0.880000002682209,13,3.6060387174075004e-06,,,
0,replay,obs_visual,full,12,0.9100000020116568,10,1.1004017324012239e-06,,,
0,replay,obs_visual,full,13,0.8900000024586916,12,1.7020950053847628e-06,,,
0,replay,obs_visual,full,14,0.9100000020116568,10,3.740420027043001e-07,,,
0,replay,obs_visual,full,15,0.9100000020116568,10,7.960182557553708e-08,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,16,0.8900000024586916,12,4.1798062966336147e-07,,,
0,replay,obs_visual,full,17,0.8700000029057264,14,4.753747816721443e-06,,,
0,replay,obs_visual,full,18,0.8900000024586916,12,5.582264748227317e-07,,,
0,replay,obs_visual,full,19,0.8900000024586916,12,2.4040571133809863e-07,,,
0,replay,obs_visual,full,20,0.8600000031292439,15,6.15223314071045e-07,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,21,0.8900000024586916,12,1.1906199688382912e-06,,,
0,replay,obs_visual,full,22,0.8700000029057264,14,2.2616351998294704e-05,,,
0,replay,obs_visual,full,23,0.9100000020116568,10,1.7208947610924952e-05,,,
0,replay,obs_visual,full,24,0.9100000020116568,10,6.368395133904414e-06,,,
0,replay,obs_visual,full,25,0.8900000024586916,12,7.877882308093831e-05,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,26,0.9100000020116568,10,1.913628693728242e-05,,,
0,replay,obs_visual,full,27,0.9100000020116568,10,1.1310394256724976e-05,,,
0,replay,obs_visual,full,28,0.9100000020116568,10,2.096576736221323e-06,,,
0,replay,obs_visual,full,29,0.8500000033527613,16,9.477758453613205e-07,,,
0,replay,obs_visual,full,30,0.8500000033527613,16,5.09015990246553e-06,0.0,-0.4999999888241291,50.0
0,replay,obs_visual,full,31,0.9100000020116568,10,5.783768301625969e-06,,,
0,replay,obs_visual,full,32,0.9100000020116568,10,4.4348344090394676e-06,,,
0,replay,obs_visual,full,33,0.8900000024586916,12,7.784190074744401e-07,,,
0,replay,obs_visual,full,34,0.8700000029057264,14,3.661260416265577e-05,,,
0,replay,obs_visual,full,35,0.8900000024586916,12,5.924787728872616e-06,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,36,0.9100000020116568,10,3.2420152820122894e-06,,,
0,replay,obs_visual,full,37,0.9100000020116568,10,1.3046393178228755e-05,,,
0,replay,obs_visual,full,38,0.9100000020116568,10,1.3315258001966868e-05,,,
0,replay,obs_visual,full,39,0.8500000033527613,16,1.722527485981118e-05,,,
0,replay,obs_visual,full,40,0.8500000033527613,16,5.3150592975725885e-06,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,41,0.9100000020116568,10,8.97111874564871e-07,,,
0,replay,obs_visual,full,42,0.9100000020116568,10,1.1484781680337619e-05,,,
0,replay,obs_visual,full,43,0.9100000020116568,10,1.331146563643415e-06,,,
0,replay,obs_visual,full,44,0.9100000020116568,10,3.835929760498402e-07,,,
0,replay,obs_visual,full,45,0.8700000029057264,14,7.679835789531353e-07,1.0,0.9100000020116568,10.0
0,replay,obs_visual,full,46,0.9100000020116568,10,4.1701363784341083e-07,,,
0,replay,obs_visual,full,47,0.8700000029057264,14,4.4602052184927743e-07,,,
0,replay,obs_visual,full,48,0.8900000024586916,12,4.626251666195458e-07,,,
0,replay,obs_visual,full,49,0.9100000020116568,10,1.702122034430431e-07,,,
