seed,reval_episode,episode_return,episode_steps,reward_only_loss,reward_weights_norm
0,1,-0.4999999888241291,50,1.3986813485189487e-08,0.9925177097320557
0,2,-0.4999999888241291,50,8.215589275550883e-08,0.992536723613739
0,3,-0.4999999888241291,50,6.696568854991369e-10,0.9926193952560425
0,4,0.8400000035762787,17,1.0169332027435303,0.9924155473709106
0,5,-0.4999999888241291,50,9.3899382136442e-07,0.9929224252700806
0,6,-0.4999999888241291,50,8.488771641168569e-07,0.99334317445755
0,7,-0.4999999888241291,50,5.504791147359356e-07,0.9935203790664673
0,8,-0.4999999888241291,50,3.353547697315662e-07,0.9937419295310974
0,9,-0.4999999888241291,50,4.910873030894436e-06,0.9939876198768616
0,10,-0.4999999888241291,50,9.617856733257213e-08,0.9943340420722961
0,11,-0.4999999888241291,50,4.427431932185755e-08,0.9945113658905029
0,12,-0.4999999888241291,50,1.547802952472921e-08,0.9946419596672058
0,13,0.7200000062584877,29,1.0189343690872192,0.9946926236152649
0,14,-0.4999999888241291,50,5.199866427574307e-05,0.9950230121612549
0,15,-0.4999999888241291,50,8.638272447569761e-06,0.9960718750953674
0,16,-0.4999999888241291,50,2.9455796379807e-07,0.9956815838813782
0,17,0.6200000084936619,39,1.0140444040298462,0.9956759214401245
0,18,-0.4999999888241291,50,5.355323082767427e-05,0.9962567687034607
0,19,-0.4999999888241291,50,9.74805880105123e-06,0.9974395036697388
0,20,-0.4999999888241291,50,2.7346915885573253e-05,0.9976049065589905
