seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,replay_updates_per_step,q_loss,mean_q,mean_td_target
2,1,50,0.9968333333333333,-0.4999999888241291,50,50,2,0.0,0.0,0.0
2,2,100,0.9936666666666667,-0.4999999888241291,50,100,2,0.008060597814619541,-0.007150380406528711,0.07048609107732773
2,3,150,0.9905,-0.4999999888241291,50,150,2,6.115977157605812e-05,0.0404387041926384,0.038541294634342194
2,4,190,0.9873333333333333,0.6100000087171793,40,190,2,0.029475059360265732,0.02904903143644333,0.05952674522995949
2,5,240,0.9841666666666666,-0.4999999888241291,50,240,2,0.00028870796086266637,0.02887619659304619,0.03035784885287285
2,6,290,0.981,-0.4999999888241291,50,290,2,0.00027960611623711884,0.02783467434346676,0.0307401604950428
2,7,340,0.9778333333333333,-0.4999999888241291,50,340,2,0.0008811726002022624,0.07826007157564163,0.07462865859270096
2,8,390,0.9746666666666667,-0.4999999888241291,50,390,2,0.0004132359172217548,0.04680749773979187,0.06318349391222
2,9,440,0.9715,-0.4999999888241291,50,440,2,0.0007693235529586673,0.08184968680143356,0.0966959223151207
2,10,490,0.9683333333333334,-0.4999999888241291,50,490,2,0.0001801729085855186,0.1340683251619339,0.1438359171152115
2,11,519,0.9651666666666666,0.7200000062584877,29,519,2,0.000882635940797627,0.12830254435539246,0.1521255373954773
2,12,569,0.962,-0.4999999888241291,50,569,2,0.0009402287541888654,0.17505452036857605,0.19817116856575012
2,13,615,0.9588333333333333,0.5500000100582838,46,615,2,0.0013084046076983213,0.3573650121688843,0.3419460356235504
2,14,665,0.9556666666666667,-0.4999999888241291,50,665,2,0.0013553719036281109,0.4150809645652771,0.39521080255508423
2,15,715,0.9525,-0.4999999888241291,50,715,2,0.0007614199421368539,0.4394511580467224,0.4531571865081787
2,16,765,0.9493333333333334,-0.4999999888241291,50,765,2,0.0005766936228610575,0.5515181422233582,0.5459853410720825
2,17,815,0.9461666666666667,0.5100000109523535,50,815,2,0.001169329509139061,0.5499710440635681,0.5990170240402222
2,18,865,0.9430000000000001,-0.4999999888241291,50,865,2,0.003386210184544325,0.6976550817489624,0.6864051818847656
2,19,915,0.9398333333333333,0.5100000109523535,50,915,2,0.0015620423946529627,0.7330052256584167,0.7469984292984009
2,20,965,0.9366666666666666,-0.4999999888241291,50,965,2,0.018625274300575256,0.7925400137901306,0.7750089168548584
2,21,1015,0.9335,-0.4999999888241291,50,1015,2,0.003363844007253647,0.8205474615097046,0.847279965877533
2,22,1064,0.9303333333333333,0.5200000107288361,49,1064,2,0.022627929225564003,0.8342654705047607,0.8192728757858276
2,23,1114,0.9271666666666667,-0.4999999888241291,50,1114,2,0.04788569360971451,0.8214985728263855,0.7955725193023682
2,24,1164,0.924,-0.4999999888241291,50,1164,2,0.0008309411350637674,0.8130507469177246,0.8373027443885803
2,25,1214,0.9208333333333334,-0.4999999888241291,50,1214,2,0.0011354994494467974,0.8465895652770996,0.876895010471344
2,26,1264,0.9176666666666666,-0.4999999888241291,50,1264,2,0.002401344943791628,0.8167410492897034,0.8605828881263733
2,27,1314,0.9145,-0.4999999888241291,50,1314,2,0.022260326892137527,0.8215994238853455,0.8373865485191345
2,28,1364,0.9113333333333333,-0.4999999888241291,50,1364,2,0.002913018222898245,0.8453923463821411,0.8742944002151489
2,29,1405,0.9081666666666667,0.6000000089406967,41,1405,2,0.020882444456219673,0.8627756237983704,0.8298432230949402
2,30,1455,0.905,-0.4999999888241291,50,1455,2,0.021408023312687874,0.8236825466156006,0.810655951499939
2,31,1505,0.9018333333333334,-0.4999999888241291,50,1505,2,0.0010159587254747748,0.8521062731742859,0.8620918989181519
2,32,1550,0.8986666666666667,0.5600000098347664,45,1550,2,0.004936905577778816,0.7928094863891602,0.847028374671936
2,33,1600,0.8955,-0.4999999888241291,50,1600,2,0.0024664669763296843,0.8311693668365479,0.8500186204910278
