seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q
0,1,50,0.9968333333333333,-0.4999999888241291,50,50,0.0,0.0,0.0,0.0,0.0
0,2,100,0.9936666666666667,-0.4999999888241291,50,100,0.003602089360356331,0.021913331001996994,7.313289097510278e-05,0.023375988006591797,-0.0001605405705049634
0,3,150,0.9905,-0.4999999888241291,50,150,0.017902329564094543,0.010957179591059685,3.597481201822461e-09,0.01095725130289793,-0.013000085949897766
0,4,200,0.9873333333333333,-0.4999999888241291,50,200,0.017913376912474632,0.004669931251555681,1.3280827548811658e-09,0.004669957794249058,-0.03735076263546944
0,5,248,0.9841666666666666,0.5300000105053186,48,248,0.01812026835978031,0.0008520138799212873,2.2248844544492385e-08,0.0008524588774889708,-0.062059834599494934
0,6,298,0.981,-0.4999999888241291,50,298,0.0384054034948349,0.006003998685628176,5.6331818996113725e-06,0.006116662174463272,-0.06643952429294586
0,7,348,0.9778333333333333,-0.4999999888241291,50,348,0.07125148922204971,0.024930285289883614,3.4344368486927124e-06,0.024998974055051804,-0.04902873933315277
0,8,398,0.9746666666666667,-0.4999999888241291,50,398,0.0831904485821724,0.008924037218093872,1.3237691973699839e-06,0.008950512856245041,-0.06283850967884064
0,9,448,0.9715,-0.4999999888241291,50,448,0.10489096492528915,0.039643969386816025,0.025926437228918076,0.5581727027893066,-0.05567317456007004
0,10,498,0.9683333333333334,-0.4999999888241291,50,498,0.1316348910331726,0.009544005617499352,7.663740575480915e-07,0.009559333324432373,-0.032946452498435974
0,11,548,0.9651666666666666,-0.4999999888241291,50,548,0.16234955191612244,0.009455952793359756,8.569866167817963e-07,0.00947309285402298,-0.04943181946873665
0,12,598,0.962,-0.4999999888241291,50,598,0.1898820847272873,0.008656863123178482,1.1912724175999756e-06,0.008680688217282295,-0.10427667945623398
0,13,628,0.9588333333333333,0.7100000064820051,30,628,0.19632862508296967,0.029144929721951485,3.6442058899410767e-06,0.029217813163995743,-0.10180609673261642
0,14,678,0.9556666666666667,-0.4999999888241291,50,678,0.21495160460472107,0.030170153826475143,8.480602446070407e-06,0.030339766293764114,-0.025073101744055748
0,15,728,0.9525,-0.4999999888241291,50,728,0.25344687700271606,0.02850533090531826,0.0009007690823636949,0.04652070999145508,0.04561026394367218
0,16,778,0.9493333333333334,-0.4999999888241291,50,778,0.2761526107788086,0.012487931177020073,0.0023866952396929264,0.0602218359708786,0.0988248884677887
0,17,828,0.9461666666666667,-0.4999999888241291,50,828,0.2873488962650299,0.016574209555983543,6.6462994254834484e-06,0.01670713536441326,0.09432591497898102
0,18,878,0.9430000000000001,-0.4999999888241291,50,878,0.2941822409629822,0.006921582855284214,1.3417566151474603e-06,0.006948417983949184,0.06498628109693527
0,19,928,0.9398333333333333,-0.4999999888241291,50,928,0.30189672112464905,0.06949131935834885,1.2037668284392566e-06,0.06951539218425751,-0.02772127091884613
