seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q,margin_loss,mean_q_gap
1,36,1797,0.886,-0.4999999888241291,50,1797,0.09101422131061554,0.020315896719694138,2.532489634177182e-05,0.020442521199584007,-0.05074561759829521,0.0,0.0
1,37,1847,0.8828333333333334,-0.4999999888241291,50,1847,0.08736825734376907,0.01171280536800623,1.3342199963517487e-05,0.011779516004025936,-0.038648419082164764,0.0,0.0
1,38,1897,0.8796666666666667,-0.4999999888241291,50,1897,0.07586801797151566,0.016627993434667587,4.356189947429812e-06,0.016649775207042694,-0.05997295677661896,0.0,0.0
1,39,1947,0.8765000000000001,-0.4999999888241291,50,1947,0.07728952169418335,0.010644100606441498,3.3779156183300074e-06,0.01066099014133215,-0.07659124583005905,0.0,0.0
1,40,1997,0.8733333333333333,-0.4999999888241291,50,1997,0.07485107332468033,0.02322814241051674,3.1909836252452806e-05,0.023387691006064415,-0.04796874150633812,0.0,0.0
1,41,2047,0.8701666666666666,-0.4999999888241291,50,2047,0.07546199858188629,0.03291691839694977,3.9024957914080005e-06,0.03293643146753311,-0.06335272639989853,0.0,0.0
1,42,2097,0.867,-0.4999999888241291,50,2097,0.07495882362127304,0.040078055113554,7.903659025032539e-06,0.040117572993040085,-0.08500590920448303,0.0,0.0
1,43,2147,0.8638333333333333,-0.4999999888241291,50,2147,0.0718744695186615,0.025682620704174042,6.540154572576284e-06,0.02571532130241394,-0.08236212283372879,0.0,0.0
1,44,2197,0.8606666666666667,-0.4999999888241291,50,2197,0.0806654691696167,0.03673262149095535,8.270015314337797e-06,0.03677397221326828,-0.06657455861568451,0.0,0.0
1,45,2247,0.8575,-0.4999999888241291,50,2247,0.08571282029151917,0.014720563776791096,3.702875255839899e-05,0.014905707910656929,-0.05249103531241417,0.0,0.0
1,46,2297,0.8543333333333334,-0.4999999888241291,50,2297,0.08438120037317276,0.017330989241600037,8.448929293081164e-06,0.017373234033584595,-0.06861560046672821,0.0,0.0
1,47,2347,0.8511666666666666,-0.4999999888241291,50,2347,0.08765492588281631,0.06508743762969971,8.718769095139578e-06,0.06513103097677231,-0.06874385476112366,0.0,0.0
1,48,2391,0.848,0.570000009611249,44,2391,0.08445856720209122,0.06342262029647827,3.867238319799071e-06,0.06344195455312729,-0.0777508020401001,0.0,0.0
1,49,2441,0.8448333333333333,-0.4999999888241291,50,2441,0.08249019831418991,0.05397358536720276,4.72493684355868e-06,0.053997211158275604,-0.0944511666893959,0.0,0.0
1,50,2491,0.8416666666666667,-0.4999999888241291,50,2491,0.08328529447317123,0.017043914645910263,9.375820809509605e-06,0.017090793699026108,-0.07855498790740967,0.0,0.0
1,51,2527,0.8385,0.6500000078231096,36,2527,0.08058542758226395,0.008529547601938248,1.6220311636061524e-06,0.008537657558918,-0.07371610403060913,0.0,0.0
1,52,2577,0.8353333333333334,-0.4999999888241291,50,2577,0.08395758271217346,0.021359149366617203,4.083056410308927e-06,0.021379563957452774,-0.0626169741153717,0.0,0.0
1,53,2627,0.8321666666666667,-0.4999999888241291,50,2627,0.09063200652599335,0.010354740545153618,9.025272447615862e-06,0.010399866849184036,-0.06428760290145874,0.0,0.0
1,54,2677,0.829,-0.4999999888241291,50,2677,0.11177744716405869,0.007975812070071697,5.198699000175111e-05,0.008235746994614601,0.012014498002827168,0.0,0.0
1,55,2727,0.8258333333333334,-0.4999999888241291,50,2727,0.10963849723339081,0.04183829575777054,2.859172673197463e-05,0.041981253772974014,-0.03839561343193054,0.0,0.0
1,56,2777,0.8226666666666667,-0.4999999888241291,50,2777,0.11992806941270828,0.03294761851429939,4.274624370737001e-05,0.03316134959459305,-0.059324637055397034,0.0,0.0
1,57,2827,0.8195,0.5100000109523535,50,2827,0.10602450370788574,0.04545219615101814,7.512651791330427e-05,0.04582782834768295,-0.10182677209377289,0.0,0.0
1,58,2877,0.8163333333333334,-0.4999999888241291,50,2877,0.11045839637517929,0.012495359405875206,2.134333954018075e-05,0.012602075934410095,-0.09905003011226654,0.0,0.0
1,59,2927,0.8131666666666667,-0.4999999888241291,50,2927,0.1107487604022026,0.008591629564762115,2.1260417270241305e-05,0.0086979316547513,-0.09061747789382935,0.0,0.0
1,60,2977,0.81,-0.4999999888241291,50,2977,0.11176279187202454,0.010199966840445995,1.3729512829740997e-05,0.010268614627420902,-0.05116007849574089,0.0,0.0
