seed,batch_idx,collected_frames,mean_batch_reward,done_rate,loss_objective,loss_critic,loss_entropy,total_loss,grad_norm,learning_rate
1,1,512,-0.008027342148125172,0.01953125,-0.014354046434164047,0.009740221314132214,-0.013697600923478603,-0.018311426043510437,0.21972718834877014,0.0003
1,2,1024,-0.006054686848074198,0.021484375,-0.0712154358625412,0.022871632128953934,-0.013376984745264053,-0.06172078847885132,0.28380903601646423,0.0003
1,3,1536,-0.004082030616700649,0.021484375,-0.03957216441631317,0.019541136920452118,-0.012885639443993568,-0.03291666507720947,0.10513874143362045,0.0003
1,4,2048,0.009726565331220627,0.025390625,-0.054825153201818466,0.04217533767223358,-0.012785714119672775,-0.02543552964925766,0.48699700832366943,0.0003
1,5,2560,0.007753908634185791,0.025390625,-0.016297679394483566,0.022868145257234573,-0.01230725459754467,-0.005736788734793663,0.3809258043766022,0.0003
1,6,3072,0.015644531697034836,0.03125,0.1138867661356926,0.0262029729783535,-0.012772568501532078,0.1273171603679657,0.3232557773590088,0.0003
1,7,3584,0.005781251937150955,0.0234375,0.09759586304426193,0.011259572580456734,-0.013163693249225616,0.0956917405128479,0.3631654381752014,0.0003
1,8,4096,0.009726564399898052,0.02734375,-0.020878586918115616,0.013419224880635738,-0.012537592090666294,-0.01999695412814617,0.16371497511863708,0.0003
1,9,4608,0.0038085950072854757,0.025390625,-0.029950041323900223,0.013852044939994812,-0.012101897969841957,-0.028199894353747368,0.8498855829238892,0.0003
1,10,5120,0.007753906771540642,0.02734375,-0.22734740376472473,0.018291451036930084,-0.012153828516602516,-0.2212097942829132,0.5758150219917297,0.0003
1,11,5632,0.021562503650784492,0.033203125,-0.18979257345199585,0.01367039792239666,-0.011815443634986877,-0.18793761730194092,0.49698910117149353,0.0003
1,12,6144,0.015644533559679985,0.029296875,0.06363268941640854,0.010932059958577156,-0.011836167424917221,0.06272858381271362,0.66290682554245,0.0003
1,13,6656,0.031425781548023224,0.041015625,0.1191876009106636,0.00928489025682211,-0.010855436325073242,0.11761705577373505,0.21559803187847137,0.0003
1,14,7168,0.03931640833616257,0.048828125,0.049593620002269745,0.0054456195794045925,-0.010349460877478123,0.04468977823853493,0.8848142623901367,0.0003
1,15,7680,0.047207027673721313,0.056640625,0.09645400941371918,0.004328017123043537,-0.009741531684994698,0.09104049950838089,0.6685072779655457,0.0003
1,16,8192,0.05312500149011612,0.0625,0.18264353275299072,0.002440748503431678,-0.006978341843932867,0.1781059354543686,0.5954493880271912,0.0003
1,17,8704,0.07087890803813934,0.080078125,-0.12275049835443497,0.0008324593072757125,-0.0048383125104010105,-0.12675635516643524,0.23638387024402618,0.0003
1,18,9216,0.07679688185453415,0.0859375,0.15557019412517548,0.0007389721577055752,-0.004725136328488588,0.15158402919769287,2.1191670894622803,0.0003
1,19,9728,0.08863282203674316,0.09765625,0.03095778450369835,5.6610850151628256e-05,-0.002593484940007329,0.028420910239219666,0.10318883508443832,0.0003
1,20,10240,0.08666016161441803,0.095703125,0.08713875710964203,0.0004341678286436945,-0.0035237357951700687,0.08404918760061264,1.1160306930541992,0.0003
1,21,10752,0.0906054824590683,0.099609375,0.03055655024945736,1.3335780749912374e-05,-0.002868488896638155,0.027701398357748985,1.2170161008834839,0.0003
1,22,11264,0.0906054675579071,0.099609375,-0.06362941861152649,1.905319732031785e-05,-0.0028785134200006723,-0.06648888438940048,0.12900587916374207,0.0003
1,23,11776,0.0846874937415123,0.09375,-0.21965686976909637,0.0003244545659981668,-0.0032120239920914173,-0.22254443168640137,0.49336254596710205,0.0003
1,24,12288,0.0846874937415123,0.09375,0.040477205067873,0.0002634212141856551,-0.003270063316449523,0.03747056424617767,1.4271527528762817,0.0003
1,25,12800,0.08863282203674316,0.09765625,-0.06398002803325653,5.403580144047737e-05,-0.0026911257300525904,-0.06661711633205414,0.523801326751709,0.0003
1,26,13312,0.0906054750084877,0.099609375,-0.18203498423099518,2.2319905838230625e-05,-0.0025982027873396873,-0.18461085855960846,0.34801292419433594,0.0003
1,27,13824,0.0906054824590683,0.099609375,0.03474967181682587,3.6570213524100836e-06,-0.002311679068952799,0.032441649585962296,0.8307808637619019,0.0003
