seed,episode,global_step,epsilon,episode_return,phi_norm,reward_weights_norm,sr_loss,reward_loss,total_loss
0,1,50,0.988125,-0.4999999888241291,0.0,0.0,0.0,0.0,0.0
0,2,100,0.97625,-0.4999999888241291,0.17548738420009613,0.0035535856150090694,0.006306798197329044,9.593420691089705e-05,0.00822548195719719
0,3,150,0.964375,-0.4999999888241291,34.16706085205078,0.014698447659611702,0.23359236121177673,6.313246103673009e-07,0.23360498249530792
0,4,200,0.9525,-0.4999999888241291,555.255615234375,0.015289789997041225,126.64962005615234,0.005020743235945702,126.75003814697266
0,5,248,0.940625,0.5300000105053186,1346.28857421875,0.015291877090930939,280.2480163574219,0.007021787576377392,280.3884582519531
0,6,298,0.92875,-0.4999999888241291,2483.48046875,0.015291552990674973,701.1316528320312,0.013688010163605213,701.4053955078125
0,7,348,0.916875,-0.4999999888241291,3598.31103515625,0.01529117114841938,157989.28125,0.22520387172698975,157993.78125
0,8,383,0.905,0.6600000075995922,4293.67626953125,0.015291889198124409,333710.15625,0.10859837383031845,333712.34375
0,9,433,0.893125,-0.4999999888241291,5749.44287109375,0.01529134251177311,33018.0546875,0.5432650446891785,33028.921875
0,10,483,0.88125,-0.4999999888241291,6358.52001953125,0.015291417948901653,41063.32421875,0.0371406227350235,41064.06640625
0,11,533,0.869375,-0.4999999888241291,7619.05810546875,0.015290999785065651,109247.9921875,0.11202041804790497,109250.234375
0,12,583,0.8575,-0.4999999888241291,8582.2177734375,0.015291034244000912,6197723.5,0.22464877367019653,6197728.0
0,13,633,0.8456250000000001,-0.4999999888241291,9201.419921875,0.015291010029613972,242117.328125,0.1342116892337799,242120.015625
0,14,683,0.83375,-0.4999999888241291,10085.4853515625,0.01529111247509718,4876511.5,0.0308881513774395,4876512.0
0,15,733,0.821875,-0.4999999888241291,10800.4921875,0.0152914859354496,7753732.0,2.2922946300241165e-05,7753732.0
0,16,783,0.81,-0.4999999888241291,10818.1533203125,0.0173216350376606,223342.6875,0.010364972054958344,223342.890625
0,17,833,0.798125,-0.4999999888241291,11536.1484375,0.017333710566163063,92797.3125,0.023354768753051758,92797.78125
0,18,883,0.78625,-0.4999999888241291,12247.53125,0.017333829775452614,325606.75,0.15342530608177185,325609.8125
0,19,933,0.774375,-0.4999999888241291,12268.55859375,0.01733356900513172,11014673.0,0.009662297554314137,11014673.0
0,20,983,0.7625,-0.4999999888241291,12772.1689453125,0.017333466559648514,256892.859375,0.11678880453109741,256895.1875
0,21,1033,0.750625,-0.4999999888241291,12353.6875,0.017333414405584335,12101925.0,2.1830666065216064,12101969.0
0,22,1083,0.73875,-0.4999999888241291,11781.158203125,0.017333518713712692,362579.8125,0.002525089541450143,362579.875
0,23,1133,0.726875,-0.4999999888241291,12263.8720703125,0.017333509400486946,10776299.0,0.05248085409402847,10776300.0
0,24,1183,0.7150000000000001,-0.4999999888241291,12941.181640625,0.01733344793319702,26374504.0,0.13372370600700378,26374506.0
0,25,1233,0.703125,-0.4999999888241291,13293.1708984375,0.01733342558145523,303707.21875,0.01997710019350052,303707.625
0,26,1283,0.69125,-0.4999999888241291,12420.0009765625,0.017333349213004112,419572.25,0.030442368239164352,419572.84375
0,27,1333,0.6793750000000001,-0.4999999888241291,13426.1884765625,0.01733332872390747,152591.453125,0.004331113770604134,152591.546875
0,28,1359,0.6675,0.7500000055879354,13123.7216796875,0.017333170399069786,955530.5,0.2138177454471588,955534.75
0,29,1409,0.655625,-0.4999999888241291,13328.892578125,0.01733332872390747,410425.15625,0.08163207769393921,410426.78125
0,30,1459,0.64375,-0.4999999888241291,13836.78125,0.017332985997200012,406481.96875,0.3288065195083618,406488.53125
0,31,1509,0.631875,-0.4999999888241291,12466.900390625,0.017332980409264565,651317.8125,0.0012940060114488006,651317.8125
0,32,1559,0.62,-0.4999999888241291,13252.0791015625,0.017332933843135834,293813.0,0.0002631811366882175,293813.0
0,33,1609,0.608125,-0.4999999888241291,13046.5419921875,0.01733311079442501,603899.6875,0.5747941732406616,603911.1875
0,34,1659,0.59625,-0.4999999888241291,14208.0869140625,0.017332663759589195,33794980.0,0.17572222650051117,33794984.0
0,35,1709,0.5843750000000001,-0.4999999888241291,13257.5908203125,0.01733253337442875,31460588.0,0.37395724654197693,31460596.0
0,36,1759,0.5725,-0.4999999888241291,13295.1484375,0.017332570627331734,15157719.0,0.5823612213134766,15157731.0
0,37,1809,0.5606249999999999,-0.4999999888241291,14258.1162109375,0.01733231544494629,541511.375,0.00575156370177865,541511.5
0,38,1859,0.5487500000000001,-0.4999999888241291,14045.9140625,0.017332326620817184,14183386.0,0.03675518557429314,14183387.0
