seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q
2,1,50,0.99525,-0.4999999888241291,50,50,0.0,0.0,0.0,0.0,0.0
2,2,93,0.9905,0.5800000093877316,43,93,0.0,0.0,0.0,0.0,0.0
2,3,143,0.98575,-0.4999999888241291,50,143,0.009479635395109653,0.013252278789877892,0.031404510140419006,0.6413424611091614,-0.00039220816688612103
2,4,193,0.981,-0.4999999888241291,50,193,0.04758385941386223,0.005673674866557121,1.5635416161785542e-07,0.005676801782101393,-0.008373468182981014
2,5,243,0.97625,-0.4999999888241291,50,243,0.06837988644838333,0.0013459939509630203,8.771476700530911e-07,0.0013635369250550866,-0.02058335207402706
2,6,293,0.9715,-0.4999999888241291,50,293,0.09495147317647934,0.001647992874495685,1.0433184343128232e-06,0.0016688592731952667,-0.029546374455094337
2,7,343,0.96675,-0.4999999888241291,50,343,0.12873788177967072,0.004806503653526306,2.148933617718285e-06,0.004849482327699661,-0.0269221942871809
2,8,373,0.962,0.7100000064820051,30,373,0.13848504424095154,0.042869407683610916,2.356556706217816e-06,0.042916540056467056,-0.021270155906677246
2,9,423,0.95725,-0.4999999888241291,50,423,0.16967812180519104,0.05278443172574043,2.065240323645412e-06,0.05282573774456978,0.024377593770623207
2,10,473,0.9525,-0.4999999888241291,50,473,0.2130851298570633,0.06461603939533234,1.7402694538759533e-06,0.06465084850788116,0.08373191207647324
2,11,523,0.94775,-0.4999999888241291,50,523,0.24106189608573914,0.06963704526424408,4.077000085089821e-06,0.06971858441829681,0.07299032062292099
2,12,573,0.9430000000000001,-0.4999999888241291,50,573,0.27461424469947815,0.004656227305531502,1.2723168765660375e-05,0.00491069070994854,0.15232911705970764
2,13,623,0.93825,-0.4999999888241291,50,623,0.3102467954158783,0.1382528394460678,5.80354480916867e-07,0.13826444745063782,0.22104665637016296
2,14,673,0.9335,-0.4999999888241291,50,673,0.33128151297569275,0.007859236560761929,1.1414506843721028e-05,0.008087527006864548,0.20740830898284912
2,15,723,0.92875,-0.4999999888241291,50,723,0.353382408618927,0.06807973980903625,7.433074188156752e-06,0.06822840124368668,0.23370301723480225
2,16,773,0.924,-0.4999999888241291,50,773,0.3802841305732727,0.0939709022641182,0.013157005421817303,0.35711100697517395,0.27969175577163696
